DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
09-12-2025,EQ,"2,910.00",2913.50,"2,788.50","2,928.30","2,793.70","2,796.00","2,813.86","2,985.70","2,124.75",1839391.00,"5,17,57,89,766.70",124144
08-12-2025,EQ,"2,970.00",2974.50,"2,914.80","2,968.50","2,924.00","2,928.30","2,934.32","2,985.70","2,124.75",983544.00,"2,88,60,37,065.10",78611
05-12-2025,EQ,"2,955.00",2973.50,"2,941.00","2,957.20","2,961.60","2,968.50","2,960.47","2,985.70","2,124.75",944978.00,"2,79,75,78,281.60",53579
04-12-2025,EQ,"2,950.00",2985.70,"2,934.00","2,953.50","2,955.00","2,957.20","2,966.56","2,985.70","2,124.75",1466098.00,"4,34,92,71,425.80",82703
03-12-2025,EQ,"2,969.00",2969.20,"2,932.60","2,954.40","2,950.00","2,953.50","2,947.69","2,969.20","2,124.75",1252456.00,"3,69,18,47,992.40",76198
02-12-2025,EQ,"2,867.00",2962.00,"2,861.20","2,867.60","2,958.00","2,954.40","2,926.33","2,962.00","2,124.75",2102147.00,"6,15,15,86,283.70",106277
01-12-2025,EQ,"2,877.70",2887.50,"2,848.00","2,874.40","2,864.00","2,867.60","2,862.12","2,926.90","2,124.75",499153.00,"1,42,86,37,555.30",50622
28-11-2025,EQ,"2,880.00",2889.90,"2,855.80","2,879.10","2,872.60","2,874.40","2,874.51","2,926.90","2,124.75",748446.00,"2,15,14,17,620.20",49967
27-11-2025,EQ,"2,880.00",2914.50,"2,871.40","2,874.00","2,875.70","2,879.10","2,888.80","2,926.90","2,124.75",1158685.00,"3,34,72,03,855.30",88437
26-11-2025,EQ,"2,880.00",2896.20,"2,857.60","2,875.80","2,872.00","2,874.00","2,876.72","2,926.90","2,124.75",570376.00,"1,64,08,09,372.10",54610
25-11-2025,EQ,"2,899.90",2908.50,"2,869.00","2,879.20","2,878.00","2,875.80","2,886.20","2,926.90","2,124.75",972417.00,"2,80,65,87,933.10",71298
24-11-2025,EQ,"2,876.00",2896.50,"2,864.50","2,876.60","2,888.00","2,879.20","2,879.32","2,926.90","2,124.75",5404326.00,"15,56,07,66,526.90",83082
21-11-2025,EQ,"2,869.00",2895.60,"2,854.10","2,859.80","2,876.00","2,876.60","2,872.20","2,926.90","2,124.75",857340.00,"2,46,24,51,544.00",69368
20-11-2025,EQ,"2,897.40",2906.10,"2,852.50","2,893.70","2,860.00","2,859.80","2,868.16","2,926.90","2,124.75",1062883.00,"3,04,85,21,729.90",75196
19-11-2025,EQ,"2,914.00",2916.00,"2,887.20","2,906.00","2,892.00","2,893.70","2,902.70","2,926.90","2,124.75",1387906.00,"4,02,86,71,093.90",64158
18-11-2025,EQ,"2,886.00",2916.00,"2,862.10","2,887.90","2,902.20","2,906.00","2,902.78","2,926.90","2,124.75",1819066.00,"5,28,03,44,681.70",110891
17-11-2025,EQ,"2,906.40",2926.90,"2,880.00","2,906.40","2,885.40","2,887.90","2,898.89","2,926.90","2,124.75",1230683.00,"3,56,76,12,443.80",70388
14-11-2025,EQ,"2,865.10",2909.90,"2,862.00","2,879.40","2,902.00","2,906.40","2,898.97","2,909.90","2,124.75",2494076.00,"7,23,02,41,805.20",125526
13-11-2025,EQ,"2,858.90",2897.10,"2,840.00","2,769.80","2,874.30","2,879.40","2,871.67","2,897.10","2,124.75",5933630.00,"17,03,93,98,688.50",219878
12-11-2025,EQ,"2,660.00",2838.70,"2,642.10","2,657.20","2,832.00","2,769.80","2,741.80","2,838.70","2,124.75",2859196.00,"7,83,93,29,437.10",137014
11-11-2025,EQ,"2,650.40",2664.90,"2,633.40","2,650.40","2,660.00","2,657.20","2,646.37","2,666.80","2,124.75",776404.00,"2,05,46,50,737.90",63951
10-11-2025,EQ,"2,613.80",2666.80,"2,611.10","2,613.80","2,651.90","2,650.40","2,653.68","2,666.80","2,124.75",1706880.00,"4,52,95,10,455.90",77760
07-11-2025,EQ,"2,602.90",2618.90,"2,585.00","2,602.90","2,612.00","2,613.80","2,601.78","2,962.15","2,124.75",791663.00,"2,05,97,32,475.00",56147
06-11-2025,EQ,"2,560.10",2631.00,"2,560.10","2,486.70","2,602.10","2,602.90","2,604.41","2,962.15","2,124.75",4448622.00,"11,58,60,31,696.00",209979
04-11-2025,EQ,"2,510.00",2521.00,"2,479.70","2,512.20","2,492.00","2,486.70","2,496.08","2,962.15","2,124.75",527087.00,"1,31,56,51,964.00",42628
03-11-2025,EQ,"2,496.20",2515.30,"2,495.00","2,510.80","2,512.00","2,512.20","2,505.25","2,962.15","2,124.75",425210.00,"1,06,52,58,034.80",41586
31-10-2025,EQ,"2,523.40",2530.00,"2,505.30","2,523.50","2,508.10","2,510.80","2,515.24","3,028.00","2,124.75",609128.00,"1,53,21,03,170.50",43085
30-10-2025,EQ,"2,535.50",2538.70,"2,513.30","2,538.70","2,523.00","2,523.50","2,523.94","3,028.00","2,124.75",736486.00,"1,85,88,42,863.90",49018
29-10-2025,EQ,"2,520.00",2550.80,"2,512.50","2,509.30","2,539.40","2,538.70","2,534.93","3,028.00","2,124.75",615292.00,"1,55,97,22,955.50",45365
28-10-2025,EQ,"2,515.00",2528.60,"2,492.00","2,518.80","2,501.20","2,509.30","2,509.62","3,028.00","2,124.75",1103957.00,"2,77,05,13,693.30",62453
27-10-2025,EQ,"2,501.60",2530.00,"2,499.60","2,501.60","2,514.60","2,518.80","2,519.31","3,028.00","2,124.75",550089.00,"1,38,58,46,403.60",48857
24-10-2025,EQ,"2,495.00",2506.70,"2,486.30","2,502.40","2,501.80","2,501.60","2,497.96","3,057.95","2,124.75",327596.00,"81,83,20,317.00",29053
23-10-2025,EQ,"2,518.90",2546.00,"2,496.80","2,504.60","2,499.70","2,502.40","2,523.09","3,057.95","2,124.75",811738.00,"2,04,80,84,911.10",63303
21-10-2025,EQ,"2,513.00",2519.20,"2,484.00","2,516.00","2,500.00","2,504.60","2,505.60","3,057.95","2,124.75",107942.00,"27,04,59,921.20",10708
20-10-2025,EQ,"2,507.80",2537.10,"2,500.70","2,507.80","2,516.00","2,516.00","2,519.10","3,057.95","2,124.75",714986.00,"1,80,11,19,633.40",56822
17-10-2025,EQ,"2,421.00",2544.00,"2,421.00","2,409.70","2,507.80","2,507.80","2,509.32","3,103.55","2,124.75",3719960.00,"9,33,45,53,256.90",150551
16-10-2025,EQ,"2,377.00",2420.80,"2,366.90","2,375.10","2,409.30","2,409.70","2,393.30","3,103.55","2,124.75",715890.00,"1,71,33,39,299.00",47988
15-10-2025,EQ,"2,330.00",2384.00,"2,325.00","2,318.10","2,377.00","2,375.10","2,365.88","3,103.55","2,124.75",753640.00,"1,78,30,22,180.80",48939
14-10-2025,EQ,"2,342.40",2355.00,"2,308.00","2,342.50","2,314.00","2,318.10","2,327.55","3,103.55","2,124.75",353345.00,"82,24,27,063.90",34507
13-10-2025,EQ,"2,340.20",2366.60,"2,337.00","2,340.20","2,343.00","2,342.50","2,349.68","3,103.55","2,124.75",667732.00,"1,56,89,54,283.80",40981
10-10-2025,EQ,"2,338.90",2357.80,"2,336.60","2,336.40","2,338.60","2,340.20","2,345.59","3,146.70","2,124.75",1117236.00,"2,62,05,77,770.70",45433
09-10-2025,EQ,"2,328.50",2341.00,"2,323.80","2,328.50","2,340.00","2,336.40","2,333.33","3,146.70","2,124.75",587567.00,"1,37,09,89,777.50",45913
08-10-2025,EQ,"2,360.00",2369.40,"2,320.00","2,352.80","2,323.00","2,328.50","2,336.21","3,146.70","2,124.75",701799.00,"1,63,95,47,744.80",48589
07-10-2025,EQ,"2,355.00",2371.40,"2,346.00","2,354.80","2,354.70","2,352.80","2,359.19","3,146.70","2,124.75",498524.00,"1,17,61,10,967.30",35086
06-10-2025,EQ,"2,355.00",2359.20,"2,334.10","2,357.80","2,355.10","2,354.80","2,348.85","3,146.70","2,124.75",362107.00,"85,05,35,067.30",28576
03-10-2025,EQ,"2,342.20",2362.70,"2,336.10","2,335.80","2,358.10","2,357.80","2,350.46","3,358.00","2,124.75",659872.00,"1,55,10,00,342.70",49330
01-10-2025,EQ,"2,353.40",2357.00,"2,321.20","2,350.00","2,339.70","2,335.80","2,333.18","3,358.00","2,124.75",648279.00,"1,51,25,51,558.60",45070
30-09-2025,EQ,"2,352.00",2388.80,"2,340.00","2,342.60","2,353.00","2,350.00","2,353.55","3,358.00","2,124.75",778874.00,"1,83,31,17,902.00",56814
29-09-2025,EQ,"2,342.90",2363.70,"2,329.20","2,342.80","2,352.00","2,342.60","2,344.85","3,358.00","2,124.75",950369.00,"2,22,84,69,864.40",61544
26-09-2025,EQ,"2,397.50",2400.00,"2,339.00","2,404.00","2,342.00","2,342.80","2,359.94","3,358.00","2,124.75",1089446.00,"2,57,10,28,693.60",88638
25-09-2025,EQ,"2,458.50",2462.70,"2,388.00","2,457.20","2,404.00","2,404.00","2,413.29","3,358.00","2,124.75",1518215.00,"3,66,38,92,010.10",81168
24-09-2025,EQ,"2,446.00",2475.00,"2,443.20","2,446.90","2,458.50","2,457.20","2,461.22","3,358.00","2,124.75",637749.00,"1,56,96,39,539.80",54569
23-09-2025,EQ,"2,472.10",2483.80,"2,428.00","2,482.70","2,450.00","2,446.90","2,449.86","3,358.00","2,124.75",1332111.00,"3,26,34,85,069.30",63604
22-09-2025,EQ,"2,494.10",2503.00,"2,474.10","2,481.70","2,479.90","2,482.70","2,488.32","3,358.00","2,124.75",872806.00,"2,17,18,23,851.00",47534
19-09-2025,EQ,"2,475.00",2509.50,"2,468.50","2,478.70","2,495.80","2,481.70","2,485.15","3,394.90","2,124.75",3731525.00,"9,27,34,01,995.40",68897
18-09-2025,EQ,"2,497.90",2506.20,"2,469.30","2,493.60","2,478.00","2,478.70","2,484.30","3,394.90","2,124.75",400796.00,"99,56,96,737.60",34436
17-09-2025,EQ,"2,482.00",2496.90,"2,480.80","2,480.90","2,494.50","2,493.60","2,487.70","3,394.90","2,124.75",359627.00,"89,46,42,603.90",33061
16-09-2025,EQ,"2,495.00",2509.90,"2,474.50","2,502.60","2,482.00","2,480.90","2,488.81","3,394.90","2,124.75",760790.00,"1,89,34,58,633.60",54288
15-09-2025,EQ,"2,535.10",2543.50,"2,498.00","2,546.30","2,504.90","2,502.60","2,509.44","3,394.90","2,124.75",583051.00,"1,46,31,34,103.00",43109
12-09-2025,EQ,"2,560.00",2568.30,"2,537.20","2,555.90","2,540.50","2,546.30","2,550.82","3,394.90","2,124.75",547539.00,"1,39,66,74,809.30",40076
11-09-2025,EQ,"2,541.00",2559.50,"2,535.70","2,543.30","2,558.00","2,555.90","2,551.45","3,394.90","2,124.75",423961.00,"1,08,17,16,977.90",39190
10-09-2025,EQ,"2,537.30",2555.00,"2,525.10","2,537.30","2,541.00","2,543.30","2,538.02","3,394.90","2,124.75",520584.00,"1,32,12,51,315.40",32637
09-09-2025,EQ,"2,540.00",2551.60,"2,524.80","2,530.80","2,541.30","2,537.30","2,537.81","3,394.90","2,124.75",702450.00,"1,78,26,83,504.90",47923
08-09-2025,EQ,"2,579.90",2589.60,"2,526.40","2,579.90","2,535.00","2,530.80","2,550.52","3,394.90","2,124.75",742880.00,"1,89,47,27,092.80",36682
05-09-2025,EQ,"2,565.00",2602.00,"2,565.00","2,568.60","2,581.90","2,579.90","2,581.22","3,394.90","2,124.75",1153436.00,"2,97,72,75,502.90",52228
04-09-2025,EQ,"2,553.90",2583.00,"2,553.00","2,553.90","2,570.00","2,568.60","2,570.37","3,394.90","2,124.75",933071.00,"2,39,83,37,278.70",74273
03-09-2025,EQ,"2,530.00",2565.10,"2,527.30","2,540.00","2,560.00","2,553.90","2,550.67","3,394.90","2,124.75",925847.00,"2,36,15,33,560.30",56343
02-09-2025,EQ,"2,569.00",2571.90,"2,531.00","2,570.20","2,538.00","2,540.00","2,549.56","3,394.90","2,124.75",1024054.00,"2,61,08,85,776.30",85903
01-09-2025,EQ,"2,518.00",2577.80,"2,515.10","2,518.60","2,570.00","2,570.20","2,559.95","3,394.90","2,124.75",1314833.00,"3,36,59,06,195.70",62406
29-08-2025,EQ,"2,491.00",2531.60,"2,490.00","2,489.00","2,520.00","2,518.60","2,513.22","3,394.90","2,124.75",1798653.00,"4,52,04,02,451.20",105469
28-08-2025,EQ,"2,465.00",2528.00,"2,465.00","2,481.40","2,490.00","2,489.00","2,505.93","3,394.90","2,124.75",1485769.00,"3,72,32,34,769.70",105181
26-08-2025,EQ,"2,481.10",2523.30,"2,468.00","2,492.90","2,493.00","2,481.40","2,483.54","3,394.90","2,124.75",7106393.00,"17,64,90,19,058.80",134307
25-08-2025,EQ,"2,516.00",2522.50,"2,476.00","2,504.50","2,494.00","2,492.90","2,493.95","3,394.90","2,124.75",766497.00,"1,91,16,06,922.90",59779
22-08-2025,EQ,"2,562.80",2569.30,"2,501.10","2,566.60","2,505.00","2,504.50","2,519.14","3,394.90","2,124.75",523774.00,"1,31,94,57,472.40",46272
21-08-2025,EQ,"2,574.90",2576.00,"2,559.30","2,570.10","2,569.00","2,566.60","2,566.26","3,394.90","2,124.75",781082.00,"2,00,44,58,783.10",38208
20-08-2025,EQ,"2,578.00",2579.30,"2,563.40","2,579.40","2,570.50","2,570.10","2,571.05","3,394.90","2,124.75",308028.00,"79,19,56,221.80",36979
19-08-2025,EQ,"2,587.40",2595.00,"2,561.20","2,587.40","2,581.00","2,579.40","2,579.08","3,394.90","2,124.75",698587.00,"1,80,17,13,644.40",60592
18-08-2025,EQ,"2,550.00",2595.00,"2,536.60","2,528.70","2,589.90","2,587.40","2,573.28","3,394.90","2,124.75",1755615.00,"4,51,76,86,760.70",107645
